UCACCSD,bname,wname,nut_length,nut_height,nut_width,nut_vol,nut_va3d,nut_ratio_feret,nut_area,nut_sphericity,nut_cnvx_area,nut_cnvx_vol,nut_ratio_cnvx_area,nut_inv_ratio_cnvx_vol,krumbein,sneed,air_vol,meat_vol,shell_vol,vein_vol,air_ratio_vol,meat_ratio_vol,shell_ratio_vol,vein_ratio_vol,shell_rugosity,shell_thickness,shell_prot_ratio,shell_prot_vol,meat_length,meat_height,meat_width,meat_area,meat_cnvx_vol,meat_cnvx_area,meat_ratio_cnvx_area,meat_inv_ratio_cnvx_vol,meat_cavity_area,meat_cavity_vol,meat_arc_height,meat_cavity_height,meat_sphericity,meat_ratio_cavity_area,meat_ratio_cavity_vol,rho_mvs,rho_vvs,rho_vvm,meat_ratio_feret,nut_vol_sa,meat_ratio_vol_sa,vein_ratio_vol_sa,shell_ratio_vol_sa
06-005-27,2008SB_R4_T13,001,41.75047701362813,33.58291314291926,31.395050927413852,20387.149371389198,4.941864849904139,1.329842627430555,6147.314264519999,0.587087786057701,3871.443630691788,21573.26088269201,0.6297780565793283,0.9450193682933477,0.8457049868507092,0.8891619274027964,7506.366287202682,5976.046025550314,4384.320757809101,2520.416300827095,0.36819106734642,0.2931280836121672,0.2150531532359274,0.1236276958054853,1.7033227802523498,1.1180801247683367,0.0730642183243114,320.33696905237497,31.76284377692372,28.37196254240336,20.810689547828847,6130.273788539999,10658.298929696612,2473.4362021732877,0.40347891260536456,0.5606941656420987,212.1112278116967,333.9812694990692,12.11375723624418,15.528359534331296,0.259784683565355,0.0346006124894812,0.0313353258059328,0.8408039021988566,0.5927745836346668,0.705009315590059,1.5262754126394384,12880.78308418651,0.46395052121380653,0.1956725988128285,0.34037687997336497
06-005-27,2008SB_R4_T13,002,39.72044269530844,33.45055367854726,31.454859966584703,20512.900733904116,4.6432220034082405,1.2627760141836415,6045.635968019999,0.599413956143829,3814.5427224458895,21363.09519949834,0.6309580567907048,0.9602026552025948,0.8736838384500021,0.9063989083093892,6806.337149814641,6431.697352988819,4429.031294264247,2845.8349368364075,0.331807638427509,0.3135440197572051,0.2159144312020122,0.1387339106132736,1.6682961578559754,1.1736152116150087,0.0748837566081205,331.66250144943297,32.788898786123745,27.73406022652129,23.007245864421336,6179.125457339999,11415.246424439194,2572.442635930638,0.4163117667201449,0.5634304432726948,204.9836341851733,342.2919232754592,12.636362395052696,15.05746720764114,0.2706704500334184,0.0331735672953005,0.0299855045216227,0.8463952342960366,0.5878844642290826,0.6945744026052291,1.42515531756145,13706.563584089474,0.4692421491010853,0.20762570569765873,0.32313214520125594
06-005-27,2008SB_R4_T13,003,42.79098706802165,35.76885165761889,33.25780441703395,24394.576769173706,4.596968046608139,1.286644979068582,6763.478980499999,0.6014176532346646,4285.803143685907,25366.63497485477,0.6336684354372125,0.961679654922908,0.866093251166115,0.8973804748580743,8847.672761456495,7236.496628581967,5144.341723897859,3166.0656552373857,0.3626901522078009,0.2966436637558882,0.210880548269996,0.1297856357663149,1.6627380234377895,1.2722265470424832,0.0623741430336904,320.87390650058694,34.35496185670524,29.135261268113062,23.11404149022588,6770.011739039999,13023.16595298618,2828.5366768841973,0.417803806834357,0.5556633966506935,271.5781527707057,494.8270741543021,12.586502542096213,18.305951111934,0.2672474759477139,0.0401148717667092,0.0379959125101096,0.8370893899693133,0.5986027233844617,0.7151001201991174,1.4863243137827173,15546.90400771721,0.46546223125774094,0.20364605413822626,0.33089171460403294
06-005-27,2008SB_R4_T13,004,39.58985801136414,34.400642542335504,31.931822578030115,21020.676969385167,4.496372986146459,1.239824564182658,6079.521052439999,0.6058696856406701,3862.948868671703,21817.742538442635,0.6354034857929013,0.9634670925439216,0.8882614026154431,0.9080274385995296,6672.860971422227,6920.814574899026,4386.180800076767,3040.820622987146,0.3174427246629917,0.3292384248603699,0.2086603017811875,0.1446585486954508,1.6505199446355552,1.0548292899258458,0.0940633164370408,412.578712547694,32.636523580667294,28.85034895834199,23.12921136990991,6603.916065119999,11822.113690791748,2618.3730044226445,0.3964879290716827,0.5854126221345387,210.87974843701232,350.9756447791201,13.165684687696617,15.320004741611278,0.2659422806081806,0.0319325300863254,0.0296880620470174,0.8400643613671286,0.6025989844692445,0.7173247815067042,1.411052156457266,14347.81599796294,0.48236014288736506,0.21193613184186869,0.3057037252707662
06-005-27,2008SB_R4_T13,005,38.28432649479646,34.049829782641794,31.36533686215583,19995.849647322517,4.335537112633309,1.220593506234228,5809.316020199999,0.6132709088205034,3718.859836798345,20632.40866822423,0.640154507667895,0.9691476147483412,0.899858644206501,0.9104469638534048,7189.773451186985,6089.512101841772,4322.994893151957,2393.5692011418,0.3595632882821616,0.3045388022637573,0.216194608851283,0.119703300602798,1.6306007436799637,1.097575946130474,0.0758355287505678,327.836603508183,30.29069282216527,27.54872253563848,23.05200452390406,6213.425320079999,10610.2249552685,2446.843282524647,0.39379941923775197,0.5739286516086569,204.4548161358815,344.71065379038384,11.340059174664471,14.537879228969928,0.2595422350336862,0.0329053308929524,0.0324885339607449,0.8253596337995727,0.5861433423267439,0.7101672026634159,1.3140155681799803,12806.076196135527,0.4755174035025183,0.186908867672059,0.3375737288254228
06-005-27,2008SB_R4_T13,006,39.21459643477288,33.34494281010623,32.037258014905255,20308.955013397703,4.510321475695513,1.224030983442103,5947.644589919999,0.6052444756816225,3775.4642929403135,21109.28352684226,0.6347831037750522,0.9620864198243932,0.885652334954096,0.922453147308898,7218.521904185756,6294.171406969907,4315.466400494534,2480.7953017475097,0.3554354175004936,0.309920988195487,0.2124908148965638,0.1221527794074556,1.6522249110556626,1.0885727340988944,0.0772155893842394,333.22128158206795,32.28500252662795,27.71000330140962,23.61611292426297,5928.023271059999,10892.926456961412,2487.819028140527,0.41967092812975343,0.5778218949552764,212.75811747678227,351.84333289522766,12.409850821046176,15.668922737286827,0.2780993252436882,0.035890229803153,0.0323001660100599,0.8385553666929941,0.5838703316341913,0.6962811936161083,1.3670752096319223,13090.43310921195,0.48082224281338687,0.1895120872663666,0.3296656699202466
06-005-27,2008SB_R4_T13,007,40.7724404916863,31.250469348940875,29.54965241854203,17937.57077336941,4.742785284492547,1.379794249833616,5567.638519079999,0.5951898440893336,3492.865910301078,18566.474281802177,0.6273514162838003,0.9661269286302148,0.8220378891155075,0.8816451726021024,5726.606224690394,5952.7775701398505,3802.4681422577846,2455.718836281381,0.3192520490674391,0.3318608548141591,0.2119834502843065,0.1369036458340951,1.6801361950825011,1.0188789844326,0.0946809691119846,360.0213687264149,32.0959170198556,26.075621430536795,21.35073142809886,6088.669218719999,10113.49784016755,2382.278725879003,0.39126427143628306,0.5885973047324278,211.6151366074789,332.93098566898425,12.626321710513766,16.206694086615634,0.2608804373972915,0.0347555646407682,0.0329194696959038,0.8400968450260009,0.6079516462030101,0.7236685267925201,1.5032701398517627,12210.964548679016,0.48749446011485004,0.20110768698833384,0.3113978528968161
06-005-27,2008SB_R4_T13,008,39.64817006727485,32.60824902339104,29.94124779624716,18868.13890129664,4.6276218207919175,1.3241989892032606,5711.57811774,0.6000867624281395,3606.908164141389,19573.01767404093,0.6315081558524841,0.9639872203416466,0.8531990432783303,0.8851082487671094,6009.898882270931,6309.710674048088,4007.1248239130455,2541.4045210645736,0.3185210217981766,0.3344108662256285,0.2123752027094559,0.1346929092667388,1.6664256947673466,1.182089005860569,0.0770679255568841,308.82079762647294,32.79777194381796,27.5482614894199,21.713872266986947,6333.780162599999,10664.948486066987,2468.292154566629,0.38970284588365045,0.5916306752246657,209.6211000203933,335.66016901453014,12.83676559562845,15.904930433624044,0.2607118487810674,0.0330957334544343,0.0314732105319633,0.8254364113693504,0.6055892860851851,0.7336595257296055,1.5104524674616702,12858.240019025707,0.49071339971192934,0.19764792983364612,0.3116386704544245
06-005-27,2008SB_R4_T13,009,37.967068589213895,32.41496644729639,29.701554044431703,17395.81444273335,4.540606988471342,1.2782855918049774,5376.32201898,0.603895827465434,3427.746026483172,18128.49328303227,0.6375633777854488,0.9595841293118008,0.8741182854993594,0.8949564470796814,4859.927968909166,6065.437365768032,3929.6724714994234,2540.5313418430105,0.2793734081786136,0.3486722272035795,0.225897584987229,0.1460426788413032,1.6559147364819942,1.067710968021491,0.1002335842085369,393.88515658400695,31.644365314532298,26.867108468312274,21.39040140712644,5910.498887039999,10036.029163922682,2365.828150021533,0.40027554276494404,0.6043662554879718,168.2144523992333,250.88754064051585,12.543712376931722,13.843930845323056,0.2721247644866927,0.0284602798535464,0.0249986858888773,0.8370527492598301,0.6014300232377287,0.7185091068269562,1.4793722058899577,12535.641179110466,0.48385537517423083,0.20266465077802168,0.31347997404774747
06-004-4,2008SB_R5_T2,001,36.79518055262484,36.48497261559451,33.04831481362788,21717.61784195503,4.235354211782677,1.113375394785694,6090.535721159999,0.6180687049879229,3997.682876182298,22858.99564279225,0.6563762301390628,0.9500687686076394,0.9621153766574247,0.9335363325256228,8589.471435688372,7677.195909620588,2618.9648731115094,2831.985623534561,0.3955070716409265,0.353500828934813,0.12059171922862,0.1304003801956405,1.617943105563871,0.7607363839513046,0.0334257699480273,87.54091735059,30.247090136971146,30.794638425949383,24.34955569942671,7043.062611419999,13643.718437141311,2908.482925015691,0.4129571303682182,0.5626908782228685,240.4572914246496,300.9563427624258,11.53567701920521,15.55037348575525,0.2672130458757729,0.0341410128932773,0.0220582346483458,0.8842097453423464,0.5844843296668539,0.6610245281118843,1.2646899518858332,13128.14640626666,0.5847890229161303,0.21571861981846316,0.19949235726540637
